Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,â‰¥.500,<.500,last10,last20,last30
1,BOS,AL,19,17,2,.895,W 8,6.5,2.8,3.7,-1.0,2.7,16-3,1,2-0,8-1,9-1,2-0,5-0,15-2,2-0,5-1,12-1,9-1,17-2,17-2
2,NYM,NL,19,14,5,.737,W 1,4.9,4.0,0.9,1.2,2.1,11-8,3,0-0,7-4,7-1,2-0,4-0,10-4,4-1,11-5,3-0,6-4,14-5,14-5
3,ARI,NL,19,13,6,.684,L 1,4.5,3.2,1.3,0.7,2.0,12-7,1,0-0,7-3,6-3,1-1,5-3,5-5,8-1,4-2,9-4,6-4,13-6,13-6
4,TOR,AL,19,13,6,.684,W 1,6.0,3.9,2.1,-1.9,0.2,13-6,0,0-0,7-3,6-3,1-0,2-2,8-4,5-2,4-3,9-3,8-2,13-6,13-6
5,HOU,AL,21,14,7,.667,W 4,4.7,2.6,2.0,-1.5,0.5,16-5,-2,2-1,6-3,8-4,1-2,3-3,8-5,6-2,4-3,10-4,5-5,13-7,14-7
6,LAA,AL,20,13,7,.650,L 4,5.4,4.5,0.9,-0.9,0.0,12-8,1,0-1,4-6,9-1,1-1,3-1,10-5,3-2,2-4,11-3,6-4,13-7,13-7
7,PHI,NL,19,12,7,.632,W 2,5.1,3.6,1.5,0.7,2.2,12-7,0,3-0,7-1,5-6,3-0,5-1,8-7,4-0,4-6,8-1,8-2,12-7,12-7
8,PIT,NL,20,12,8,.600,L 2,5.0,4.4,0.7,-0.3,0.4,11-9,1,4-1,5-4,7-4,1-0,3-1,10-6,2-2,4-6,8-2,4-6,12-8,12-8
9,STL,NL,19,11,8,.579,W 1,4.6,3.6,1.0,0.8,1.8,12-7,-1,0-0,3-4,8-4,1-1,1-3,7-6,4-2,6-8,5-0,7-3,11-8,11-8
10,ATL,NL,19,11,8,.579,L 1,5.6,3.9,1.7,1.5,3.3,13-6,-2,0-0,7-4,4-4,1-4,1-2,10-7,1-1,11-8,0-0,5-5,11-8,11-8
11,MIL,NL,21,12,9,.571,W 4,4.0,3.9,0.1,0.8,0.9,11-10,1,0-0,6-6,6-3,2-1,5-2,9-6,3-3,5-8,7-1,6-4,11-9,12-9
12,MIN,AL,14,8,6,.571,L 1,4.4,3.7,0.6,-1.0,-0.3,8-6,0,1-1,5-3,3-3,1-2,2-3,6-6,2-0,5-4,3-2,6-4,8-6,8-6
13,SEA,AL,18,10,8,.556,W 1,4.1,4.7,-0.6,-0.9,-1.5,8-10,2,1-1,5-5,5-3,0-0,3-2,5-7,5-1,4-5,6-3,6-4,10-8,10-8
14,CLE,AL,17,9,8,.529,L 2,3.4,3.0,0.4,-1.5,-1.1,9-8,0,0-0,6-2,3-6,0-2,3-5,5-7,4-1,3-6,6-2,6-4,9-8,9-8
15,CHC,NL,17,9,8,.529,W 2,5.8,4.4,1.5,0.5,2.0,11-6,-2,0-0,3-4,6-4,1-1,0-3,6-6,3-2,7-5,2-3,6-4,9-8,9-8
16,COL,NL,21,11,10,.524,L 2,3.9,5.0,-1.1,1.0,-0.1,8-13,3,0-0,2-5,9-5,1-0,4-2,7-5,4-5,7-7,4-3,6-4,11-9,11-10
17,NYY,AL,18,9,9,.500,L 1,5.5,5.4,0.1,-0.3,-0.3,9-9,0,1-1,5-5,4-4,0-2,1-1,5-7,4-2,4-5,5-4,5-5,9-9,9-9
18,WSN,NL,20,10,10,.500,W 1,4.5,4.6,-0.1,1.5,1.4,10-10,0,0-0,3-7,7-3,0-2,1-4,8-6,2-4,6-10,4-0,5-5,10-10,10-10
19,OAK,AL,20,9,11,.450,L 1,5.4,5.3,0.1,-0.9,-0.9,10-10,-1,1-1,6-6,3-5,2-0,3-1,8-5,1-6,3-8,6-3,5-5,9-11,9-11
20,DET,AL,18,8,10,.444,L 1,4.3,4.3,-0.1,-1.9,-2.0,9-9,-1,0-3,5-6,3-4,2-1,3-4,8-9,0-1,0-8,8-2,4-6,8-10,8-10
21,LAD,NL,18,8,10,.444,L 1,4.8,4.3,0.5,0.6,1.1,10-8,-2,1-1,4-6,4-4,2-2,1-4,4-8,4-2,1-6,7-4,6-4,8-10,8-10
22,SFG,NL,19,8,11,.421,W 1,3.1,3.6,-0.5,0.7,0.2,8-11,0,2-1,3-4,5-7,2-1,4-4,2-4,6-7,4-5,4-6,4-6,8-11,8-11
23,SDP,NL,21,8,13,.381,W 1,3.8,4.8,-1.0,0.5,-0.5,8-13,0,1-2,4-10,4-3,0-3,2-2,4-9,4-4,5-9,3-4,5-5,8-12,8-13
24,TEX,AL,21,7,14,.333,L 2,3.3,5.0,-1.7,-0.2,-1.9,7-14,0,0-0,2-9,5-5,2-0,1-1,6-10,1-4,4-10,3-4,3-7,7-13,7-14
25,TBR,AL,19,6,13,.316,W 2,3.7,5.3,-1.6,0.4,-1.2,6-13,0,0-3,4-7,2-6,1-1,3-7,3-8,3-5,2-11,4-2,5-5,6-13,6-13
26,BAL,AL,20,6,14,.300,W 1,3.5,5.5,-2.1,0.1,-2.0,6-14,0,0-0,3-4,3-10,3-0,2-3,4-8,2-6,6-11,0-3,2-8,6-14,6-14
27,CHW,AL,16,4,12,.250,L 5,3.9,6.4,-2.6,-1.1,-3.7,5-11,-1,0-0,1-6,3-6,0-2,3-4,3-9,1-3,1-4,3-8,1-9,4-12,4-12
28,MIA,NL,19,5,14,.263,L 2,3.3,6.2,-2.9,1.5,-1.4,5-14,0,1-3,3-9,2-5,1-2,1-1,4-11,1-3,5-14,0-0,2-8,5-14,5-14
29,KCR,AL,18,4,14,.222,W 1,3.1,5.3,-2.2,-1.3,-3.4,5-13,-1,0-0,1-7,3-7,0-2,3-5,1-9,3-5,2-10,2-4,1-9,4-14,4-14
30,CIN,NL,19,3,16,.158,L 3,2.9,5.5,-2.5,1.4,-1.1,5-14,-2,0-0,1-7,2-9,0-1,1-4,2-14,1-2,3-16,0-0,1-9,3-16,3-16
,Avg,,,9,9,.500,,4.4,4.4,,,,9-9,,0-0,4-5,5-4,1-1,2-2,6-6,3-2,4-6,5-2,4-5,9-9,9-9